"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"bryanyzhu/two-stream-pytorch","https://github.com/bryanyzhu/two-stream-pytorch.git","torch","4","363"
"thoughtfulml/examples-in-python","https://github.com/thoughtfulml/examples-in-python.git","sklearn","6","291"
"xinntao/BasicSR","https://github.com/xinntao/BasicSR.git","torch","5","969"
"MIT-HAN-LAB/ProxylessNAS","https://github.com/MIT-HAN-LAB/ProxylessNAS.git","torch,tensorflow","3","998"
"Coder-Yu/RecQ","https://github.com/Coder-Yu/RecQ.git","sklearn,tensorflow","8","688"
"haarnoja/softqlearning","https://github.com/haarnoja/softqlearning.git","tensorflow","3","323"
"sgrvinod/a-PyTorch-Tutorial-to-Image-Captioning","https://github.com/sgrvinod/a-PyTorch-Tutorial-to-Image-Captioning.git","torch","4","888"
"locuslab/mpc.pytorch","https://github.com/locuslab/mpc.pytorch.git","torch","5","359"
"dongjun-Lee/text-summarization-tensorflow","https://github.com/dongjun-Lee/text-summarization-tensorflow.git","tensorflow","4","457"
"burness/tensorflow-101","https://github.com/burness/tensorflow-101.git","sklearn,tensorflow,keras","3","1093"
"AITTSMD/MTCNN-Tensorflow","https://github.com/AITTSMD/MTCNN-Tensorflow.git","tensorflow","4","1325"
"erikbern/ann-benchmarks","https://github.com/erikbern/ann-benchmarks.git","sklearn","22","1478"
"japerk/nltk-trainer","https://github.com/japerk/nltk-trainer.git","sklearn","9","736"
"nwojke/deep_sort","https://github.com/nwojke/deep_sort.git","sklearn,tensorflow","5","1954"
"andrea-cuttone/geoplotlib","https://github.com/andrea-cuttone/geoplotlib.git","sklearn","8","825"
"tomgoldstein/loss-landscape","https://github.com/tomgoldstein/loss-landscape.git","sklearn,torch","4","1228"
"victoresque/pytorch-template","https://github.com/victoresque/pytorch-template.git","torch","9","1664"
"datitran/face2face-demo","https://github.com/datitran/face2face-demo.git","tensorflow","4","1132"
"cbfinn/maml","https://github.com/cbfinn/maml.git","tensorflow","6","1461"
"ekzhu/datasketch","https://github.com/ekzhu/datasketch.git","sklearn","13","1184"
"deepmind/graph_nets","https://github.com/deepmind/graph_nets.git","tensorflow","7","4279"
"ufoym/deepo","https://github.com/ufoym/deepo.git","theano,tensorflow","10","5394"
"martinarjovsky/WassersteinGAN","https://github.com/martinarjovsky/WassersteinGAN.git","torch","10","2612"
"Uberi/speech_recognition","https://github.com/Uberi/speech_recognition.git","tensorflow","38","4624"
"ray-project/ray","https://github.com/ray-project/ray.git","sklearn,tensorflow,keras,torch","258","10911"
"Theano/Theano","https://github.com/Theano/Theano.git","theano","332","9102"
"dennybritz/cnn-text-classification-tf","https://github.com/dennybritz/cnn-text-classification-tf.git","tensorflow","11","5145"
"easy-tensorflow/easy-tensorflow","https://github.com/easy-tensorflow/easy-tensorflow.git","tensorflow","5","2797"
"tensorflow/models","https://github.com/tensorflow/models.git","sklearn,keras,tensorflow","384","60308"
"tensorflow/tensor2tensor","https://github.com/tensorflow/tensor2tensor.git","tensorflow","208","9748"
"jantic/DeOldify","https://github.com/jantic/DeOldify.git","torch","22","9516"
"tkipf/gcn","https://github.com/tkipf/gcn.git","tensorflow","7","4370"
"mlflow/mlflow","https://github.com/mlflow/mlflow.git","sklearn,keras,tensorflow,torch","172","6203"
"cysmith/neural-style-tf","https://github.com/cysmith/neural-style-tf.git","tensorflow","10","2574"
"Yorko/mlcourse.ai","https://github.com/Yorko/mlcourse.ai.git","sklearn","189","6756"
"snipsco/snips-nlu","https://github.com/snipsco/snips-nlu.git","sklearn","14","3203"
"facebookresearch/maskrcnn-benchmark","https://github.com/facebookresearch/maskrcnn-benchmark.git","torch","83","7355"
"uber/pyro","https://github.com/uber/pyro.git","sklearn,torch","79","6092"
"Lasagne/Lasagne","https://github.com/Lasagne/Lasagne.git","theano","65","3727"
"Sentdex/pygta5","https://github.com/Sentdex/pygta5.git","keras","6","2958"
"openai/spinningup","https://github.com/openai/spinningup.git","tensorflow","22","4454"
"tflearn/tflearn","https://github.com/tflearn/tflearn.git","tensorflow","120","9386"
"scipy-lectures/scipy-lecture-notes","https://github.com/scipy-lectures/scipy-lecture-notes.git","sklearn","92","2299"
"RaRe-Technologies/gensim","https://github.com/RaRe-Technologies/gensim.git","sklearn,theano,keras","331","10590"
"eriklindernoren/Keras-GAN","https://github.com/eriklindernoren/Keras-GAN.git","keras","14","6686"
"lengstrom/fast-style-transfer","https://github.com/lengstrom/fast-style-transfer.git","tensorflow","13","8868"
"kubeflow/kubeflow","https://github.com/kubeflow/kubeflow.git","tensorflow","185","8684"
"pandas-dev/pandas","https://github.com/pandas-dev/pandas.git","sklearn","414","22697"
"deepmipt/DeepPavlov","https://github.com/deepmipt/DeepPavlov.git","sklearn,tensorflow,keras","40","4098"
"sympy/sympy","https://github.com/sympy/sympy.git","theano,tensorflow","444","6793"
"CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial","https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial.git","sklearn,tensorflow","4","2304"
"ageitgey/face_recognition","https://github.com/ageitgey/face_recognition.git","sklearn","34","33122"
"GoogleCloudPlatform/python-docs-samples","https://github.com/GoogleCloudPlatform/python-docs-samples.git","sklearn,tensorflow","278","3652"
"qqwweee/keras-yolo3","https://github.com/qqwweee/keras-yolo3.git","tensorflow,keras","7","5433"
"yunjey/pytorch-tutorial","https://github.com/yunjey/pytorch-tutorial.git","tensorflow,torch","26","16037"
"roytseng-tw/Detectron.pytorch","https://github.com/roytseng-tw/Detectron.pytorch.git","torch","5","2672"
"automl/auto-sklearn","https://github.com/automl/auto-sklearn.git","sklearn","42","4123"
"ujjwalkarn/DataSciencePython","https://github.com/ujjwalkarn/DataSciencePython.git","sklearn","7","3782"
"karpathy/arxiv-sanity-preserver","https://github.com/karpathy/arxiv-sanity-preserver.git","sklearn","21","3593"
"YadiraF/PRNet","https://github.com/YadiraF/PRNet.git","tensorflow","4","3722"
"okfn-brasil/serenata-de-amor","https://github.com/okfn-brasil/serenata-de-amor.git","sklearn","102","3996"
"brightmart/text_classification","https://github.com/brightmart/text_classification.git","tensorflow","10","5994"
"1adrianb/face-alignment","https://github.com/1adrianb/face-alignment.git","torch","12","3662"
"fmfn/BayesianOptimization","https://github.com/fmfn/BayesianOptimization.git","sklearn","16","3934"
"XifengGuo/CapsNet-Keras","https://github.com/XifengGuo/CapsNet-Keras.git","tensorflow,keras","6","2298"
"deepmind/sonnet","https://github.com/deepmind/sonnet.git","tensorflow","35","8277"
"golemfactory/golem","https://github.com/golemfactory/golem.git","sklearn","50","2835"
"RasaHQ/rasa","https://github.com/RasaHQ/rasa.git","sklearn,tensorflow,keras","303","7277"
"facebookresearch/DrQA","https://github.com/facebookresearch/DrQA.git","sklearn,torch","9","3535"
"anishathalye/neural-style","https://github.com/anishathalye/neural-style.git","tensorflow","14","5109"
"deepmind/dnc","https://github.com/deepmind/dnc.git","tensorflow","4","2369"
"reinforceio/tensorforce","https://github.com/reinforceio/tensorforce.git","tensorflow,keras","53","2629"
"geekcomputers/Python","https://github.com/geekcomputers/Python.git","sklearn,tensorflow,keras","281","15885"
"statsmodels/statsmodels","https://github.com/statsmodels/statsmodels.git","sklearn","211","4896"
"facebookresearch/Detectron","https://github.com/facebookresearch/Detectron.git","caffe","32","23025"
"deepfakes/faceswap","https://github.com/deepfakes/faceswap.git","sklearn,tensorflow,keras","65","29642"
"explosion/spaCy","https://github.com/explosion/spaCy.git","torch,tensorflow,keras","407","16086"
"OpenNMT/OpenNMT-py","https://github.com/OpenNMT/OpenNMT-py.git","torch","138","3998"
"scikit-learn-contrib/imbalanced-learn","https://github.com/scikit-learn-contrib/imbalanced-learn.git","sklearn,tensorflow,keras","41","4285"
"facebookresearch/visdom","https://github.com/facebookresearch/visdom.git","torch","80","6811"
"wiseodd/generative-models","https://github.com/wiseodd/generative-models.git","tensorflow,torch","6","5933"
"jindongwang/transferlearning","https://github.com/jindongwang/transferlearning.git","sklearn,torch","16","4470"
"lmcinnes/umap","https://github.com/lmcinnes/umap.git","sklearn","47","3742"
"scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn.git","sklearn","416","39940"
"google-research/bert","https://github.com/google-research/bert.git","tensorflow","27","22174"
"tensorflow/cleverhans","https://github.com/tensorflow/cleverhans.git","sklearn,torch,tensorflow,keras","94","4477"
"wangshub/wechat_jump_game","https://github.com/wangshub/wechat_jump_game.git","sklearn,tensorflow","62","13920"
"NVIDIA/FastPhotoStyle","https://github.com/NVIDIA/FastPhotoStyle.git","torch","5","10164"
"naturomics/CapsNet-Tensorflow","https://github.com/naturomics/CapsNet-Tensorflow.git","tensorflow","8","3656"
"fizyr/keras-retinanet","https://github.com/fizyr/keras-retinanet.git","tensorflow,keras","61","3625"
"jcjohnson/pytorch-examples","https://github.com/jcjohnson/pytorch-examples.git","tensorflow,torch","5","3484"
"deeppomf/DeepCreamPy","https://github.com/deeppomf/DeepCreamPy.git","tensorflow","19","9121"
"home-assistant/home-assistant","https://github.com/home-assistant/home-assistant.git","tensorflow","414","29981"
"apache/incubator-tvm","https://github.com/apache/incubator-tvm.git","keras,tensorflow,torch","319","4792"
"NVIDIA/vid2vid","https://github.com/NVIDIA/vid2vid.git","tensorflow,caffe,torch","4","7254"
"cchen156/Learning-to-See-in-the-Dark","https://github.com/cchen156/Learning-to-See-in-the-Dark.git","tensorflow","6","3398"
"jinfagang/tensorflow_poems","https://github.com/jinfagang/tensorflow_poems.git","tensorflow","3","2994"
"tqdm/tqdm","https://github.com/tqdm/tqdm.git","keras","75","13850"
"sony/nnabla","https://github.com/sony/nnabla.git","sklearn,tensorflow","35","2280"
"nltk/nltk","https://github.com/nltk/nltk.git","sklearn","290","8483"
"astorfi/TensorFlow-World","https://github.com/astorfi/TensorFlow-World.git","sklearn,tensorflow","5","4480"
"matterport/Mask_RCNN","https://github.com/matterport/Mask_RCNN.git","tensorflow,keras","41","16168"
"vipstone/faceai","https://github.com/vipstone/faceai.git","tensorflow,keras","4","6475"
"hyperopt/hyperopt","https://github.com/hyperopt/hyperopt.git","sklearn","58","4107"
"TheAlgorithms/Python","https://github.com/TheAlgorithms/Python.git","sklearn,tensorflow","430","68887"
"bokeh/bokeh","https://github.com/bokeh/bokeh.git","sklearn","392","13089"
"deepinsight/insightface","https://github.com/deepinsight/insightface.git","sklearn,tensorflow","8","5765"
"codertimo/BERT-pytorch","https://github.com/codertimo/BERT-pytorch.git","torch","5","3353"
"tensorflow/tensorboard","https://github.com/tensorflow/tensorboard.git","tensorflow","199","4541"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist.git","sklearn,tensorflow","7","7410"
"allenai/allennlp","https://github.com/allenai/allennlp.git","sklearn,torch","188","8239"
"openai/baselines","https://github.com/openai/baselines.git","tensorflow","108","9522"
"andabi/deep-voice-conversion","https://github.com/andabi/deep-voice-conversion.git","sklearn,tensorflow","4","3066"
"yahoo/TensorFlowOnSpark","https://github.com/yahoo/TensorFlowOnSpark.git","tensorflow,keras","19","3441"
"rll/rllab","https://github.com/rll/rllab.git","theano,tensorflow","28","2360"
"donnemartin/data-science-ipython-notebooks","https://github.com/donnemartin/data-science-ipython-notebooks.git","sklearn,theano,tensorflow,keras","12","17749"
"tensorpack/tensorpack","https://github.com/tensorpack/tensorpack.git","sklearn,caffe,tensorflow,keras,torch","48","5339"
"hunkim/PyTorchZeroToAll","https://github.com/hunkim/PyTorchZeroToAll.git","torch","8","3137"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix.git","caffe,torch","43","11369"
"fxsjy/jieba","https://github.com/fxsjy/jieba.git","sklearn","40","22325"
"NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD.git","sklearn,tensorflow,torch","8","4397"
"tensorflow/nmt","https://github.com/tensorflow/nmt.git","tensorflow","21","5323"
"zzw922cn/Automatic_Speech_Recognition","https://github.com/zzw922cn/Automatic_Speech_Recognition.git","sklearn,tensorflow","7","2584"
"Rochester-NRT/RocAlphaGo","https://github.com/Rochester-NRT/RocAlphaGo.git","keras","14","9016"
"jhfjhfj1/autokeras","https://github.com/jhfjhfj1/autokeras.git","sklearn,tensorflow,keras","64","6779"
"Hironsan/BossSensor","https://github.com/Hironsan/BossSensor.git","sklearn,keras","4","5864"
"scikit-image/scikit-image","https://github.com/scikit-image/scikit-image.git","sklearn","345","3603"
"lyst/lightfm","https://github.com/lyst/lightfm.git","sklearn","25","3009"
"kootenpv/whereami","https://github.com/kootenpv/whereami.git","sklearn","7","3223"
"EpistasisLab/tpot","https://github.com/EpistasisLab/tpot.git","sklearn","56","6904"
"facebookresearch/pytext","https://github.com/facebookresearch/pytext.git","torch","61","5756"
"pymc-devs/pymc3","https://github.com/pymc-devs/pymc3.git","theano","238","4898"
"endernewton/tf-faster-rcnn","https://github.com/endernewton/tf-faster-rcnn.git","tensorflow","13","3286"
"MrGemy95/Tensorflow-Project-Template","https://github.com/MrGemy95/Tensorflow-Project-Template.git","tensorflow","7","3158"
"Microsoft/MMdnn","https://github.com/Microsoft/MMdnn.git","caffe,tensorflow,keras,torch","62","4563"
"rasbt/mlxtend","https://github.com/rasbt/mlxtend.git","sklearn","62","2830"
"MorvanZhou/Reinforcement-learning-with-tensorflow","https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow.git","tensorflow","6","4963"
"humphd/have-fun-with-machine-learning","https://github.com/humphd/have-fun-with-machine-learning.git","caffe","6","4815"
"sherjilozair/char-rnn-tensorflow","https://github.com/sherjilozair/char-rnn-tensorflow.git","tensorflow","24","2590"
"open-mmlab/mmdetection","https://github.com/open-mmlab/mmdetection.git","torch","86","8873"
"chainer/chainer","https://github.com/chainer/chainer.git","theano,caffe","251","5316"
"openai/glow","https://github.com/openai/glow.git","tensorflow,keras","4","2534"
"deepmind/trfl","https://github.com/deepmind/trfl.git","tensorflow","10","2958"
"pytorch/fairseq","https://github.com/pytorch/fairseq.git","torch","135","7306"
"Cadene/pretrained-models.pytorch","https://github.com/Cadene/pretrained-models.pytorch.git","sklearn,torch","19","6359"
"tensorlayer/tensorlayer","https://github.com/tensorlayer/tensorlayer.git","sklearn,keras,tensorflow,torch","81","5993"
"tyiannak/pyAudioAnalysis","https://github.com/tyiannak/pyAudioAnalysis.git","sklearn","14","3002"
"rushter/MLAlgorithms","https://github.com/rushter/MLAlgorithms.git","sklearn","22","7976"
"librosa/librosa","https://github.com/librosa/librosa.git","sklearn","58","3407"
"pytorch/examples","https://github.com/pytorch/examples.git","torch","131","12350"
"eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch.git","sklearn","6","15791"
"OpenMined/PySyft","https://github.com/OpenMined/PySyft.git","sklearn,tensorflow,keras,torch","229","5295"
"lisa-lab/DeepLearningTutorials","https://github.com/lisa-lab/DeepLearningTutorials.git","theano","44","3903"
"oarriaga/face_classification","https://github.com/oarriaga/face_classification.git","tensorflow,keras","6","4784"
"OlafenwaMoses/ImageAI","https://github.com/OlafenwaMoses/ImageAI.git","sklearn,tensorflow,keras","11","4638"
"tensorflow/magenta","https://github.com/tensorflow/magenta.git","tensorflow","116","14812"
"facebookresearch/ParlAI","https://github.com/facebookresearch/ParlAI.git","sklearn,torch","93","5379"
"eriklindernoren/PyTorch-GAN","https://github.com/eriklindernoren/PyTorch-GAN.git","torch","8","5855"
"lanpa/tensorboardX","https://github.com/lanpa/tensorboardX.git","theano,torch","55","6149"
"jwyang/faster-rcnn.pytorch","https://github.com/jwyang/faster-rcnn.pytorch.git","tensorflow,torch","28","5003"
"osforscience/TensorFlow-Course","https://github.com/osforscience/TensorFlow-Course.git","sklearn,tensorflow","7","14187"
"keras-rl/keras-rl","https://github.com/keras-rl/keras-rl.git","theano,tensorflow,keras","37","4539"
"ContextLab/hypertools","https://github.com/ContextLab/hypertools.git","sklearn","14","1542"
"gram-ai/capsule-networks","https://github.com/gram-ai/capsule-networks.git","torch","4","1391"
"autorope/donkeycar","https://github.com/autorope/donkeycar.git","torch,tensorflow,keras","85","1780"
"pytorch/tutorials","https://github.com/pytorch/tutorials.git","tensorflow,torch","181","3526"
"openai/pixel-cnn","https://github.com/openai/pixel-cnn.git","tensorflow","9","1624"
"kuangliu/pytorch-cifar","https://github.com/kuangliu/pytorch-cifar.git","torch","4","2692"
"minimaxir/textgenrnn","https://github.com/minimaxir/textgenrnn.git","sklearn,tensorflow,keras","12","3643"
"GeorgeSeif/Semantic-Segmentation-Suite","https://github.com/GeorgeSeif/Semantic-Segmentation-Suite.git","sklearn,tensorflow","6","2052"
"maxpumperla/elephas","https://github.com/maxpumperla/elephas.git","keras","16","1356"
"facebookresearch/InferSent","https://github.com/facebookresearch/InferSent.git","torch","8","1894"
"samjabrahams/tensorflow-on-raspberry-pi","https://github.com/samjabrahams/tensorflow-on-raspberry-pi.git","tensorflow","5","2067"
"facebookresearch/MUSE","https://github.com/facebookresearch/MUSE.git","torch","8","2372"
"tensorflow/hub","https://github.com/tensorflow/hub.git","sklearn,tensorflow","40","2212"
"pytorch/ignite","https://github.com/pytorch/ignite.git","sklearn,torch","54","2658"
"google/youtube-8m","https://github.com/google/youtube-8m.git","tensorflow","25","1882"
"thu-ml/zhusuan","https://github.com/thu-ml/zhusuan.git","tensorflow","16","1810"
"Tencent/tencent-ml-images","https://github.com/Tencent/tencent-ml-images.git","tensorflow","3","2622"
"VowpalWabbit/vowpal_wabbit","https://github.com/VowpalWabbit/vowpal_wabbit.git","sklearn","177","7084"
"vanheeringen-lab/gimmemotifs","https://github.com/vanheeringen-lab/gimmemotifs.git","sklearn","3","52"
"MarkUsProject/Markus","https://github.com/MarkUsProject/Markus.git","torch","140","206"
"bulletphysics/bullet3","https://github.com/bulletphysics/bullet3.git","sklearn,keras,tensorflow","167","6463"
"MITK/MITK","https://github.com/MITK/MITK.git","sklearn,theano,caffe,tensorflow","61","313"
"dumbmatter/gm-games","https://github.com/dumbmatter/gm-games.git","sklearn","23","77"
"Singular/Sources","https://github.com/Singular/Sources.git","sklearn","51","93"
"ilastik/lazyflow","https://github.com/ilastik/lazyflow.git","sklearn","29","71"
"JetBrains/intellij-community","https://github.com/JetBrains/intellij-community.git","sklearn,tensorflow","226","9957"
"mdp-toolkit/mdp-toolkit","https://github.com/mdp-toolkit/mdp-toolkit.git","sklearn","16","67"
"CellProfiler/CellProfiler-Analyst","https://github.com/CellProfiler/CellProfiler-Analyst.git","sklearn","13","84"
"LxMLS/lxmls-toolkit","https://github.com/LxMLS/lxmls-toolkit.git","torch","24","183"
"natekupp/ffx","https://github.com/natekupp/ffx.git","sklearn","6","52"
"josephreisinger/vowpal_porpoise","https://github.com/josephreisinger/vowpal_porpoise.git","sklearn","6","151"
"simonvh/fluff","https://github.com/simonvh/fluff.git","sklearn","3","55"
"quaquel/EMAworkbench","https://github.com/quaquel/EMAworkbench.git","sklearn","10","54"
"QInfer/python-qinfer","https://github.com/QInfer/python-qinfer.git","sklearn","9","67"
"pylayers/pylayers","https://github.com/pylayers/pylayers.git","sklearn","8","92"
"dpinney/omf","https://github.com/dpinney/omf.git","sklearn,tensorflow,keras","34","57"
"lingpy/lingpy","https://github.com/lingpy/lingpy.git","sklearn","13","70"
"neurospin/pypreprocess","https://github.com/neurospin/pypreprocess.git","sklearn","25","58"
"edx/ease","https://github.com/edx/ease.git","sklearn","13","186"
"NeuroVault/NeuroVault","https://github.com/NeuroVault/NeuroVault.git","sklearn","18","70"
"goodfeli/galatea","https://github.com/goodfeli/galatea.git","sklearn,theano","17","79"
"reidpr/quac","https://github.com/reidpr/quac.git","sklearn","5","61"
"pratik008/HealthCare_Twitter_Analysis","https://github.com/pratik008/HealthCare_Twitter_Analysis.git","sklearn","13","54"
"WheatonCS/Lexos","https://github.com/WheatonCS/Lexos.git","sklearn","41","89"
"NeuralEnsemble/elephant","https://github.com/NeuralEnsemble/elephant.git","sklearn","32","71"
"bd-j/prospector","https://github.com/bd-j/prospector.git","sklearn","7","51"
"berkmancenter/mediacloud","https://github.com/berkmancenter/mediacloud.git","keras","14","146"
"BinPro/CONCOCT","https://github.com/BinPro/CONCOCT.git","sklearn","12","78"
"scrapinghub/webstruct","https://github.com/scrapinghub/webstruct.git","sklearn","9","214"
"CGATOxford/cgat","https://github.com/CGATOxford/cgat.git","sklearn","17","114"
"calliope-project/calliope","https://github.com/calliope-project/calliope.git","sklearn","8","105"
"DrSkippy/Data-Science-45min-Intros","https://github.com/DrSkippy/Data-Science-45min-Intros.git","sklearn","9","1446"
"msmbuilder/msmbuilder","https://github.com/msmbuilder/msmbuilder.git","sklearn","23","97"
"UDST/pandana","https://github.com/UDST/pandana.git","sklearn","14","192"
"pescadores/pescador","https://github.com/pescadores/pescador.git","keras","7","62"
"thehackerwithin/berkeley","https://github.com/thehackerwithin/berkeley.git","sklearn","37","86"
"mlpack/benchmarks","https://github.com/mlpack/benchmarks.git","sklearn","16","75"
"dmlc/xgboost","https://github.com/dmlc/xgboost.git","sklearn","408","19173"
"RoboJackets/igvc-software","https://github.com/RoboJackets/igvc-software.git","sklearn,torch","49","66"
"Marigold/universal-portfolios","https://github.com/Marigold/universal-portfolios.git","sklearn","5","233"
"h2oai/h2o-3","https://github.com/h2oai/h2o-3.git","sklearn","134","4823"
"flowersteam/explauto","https://github.com/flowersteam/explauto.git","sklearn","10","55"
"wolverton-research-group/qmpy","https://github.com/wolverton-research-group/qmpy.git","sklearn","6","63"
"PhonologicalCorpusTools/CorpusTools","https://github.com/PhonologicalCorpusTools/CorpusTools.git","sklearn","13","78"
"sdpython/ensae_teaching_cs","https://github.com/sdpython/ensae_teaching_cs.git","sklearn","6","60"
"pyannote/pyannote-metrics","https://github.com/pyannote/pyannote-metrics.git","sklearn","5","84"
"claritylab/lucida","https://github.com/claritylab/lucida.git","sklearn","25","4861"
"neuropoly/spinalcordtoolbox","https://github.com/neuropoly/spinalcordtoolbox.git","sklearn,tensorflow,keras","30","72"
"qgis/QGIS-Processing","https://github.com/qgis/QGIS-Processing.git","sklearn","28","66"
"mattloper/chumpy","https://github.com/mattloper/chumpy.git","theano","6","86"
"inpho/topic-explorer","https://github.com/inpho/topic-explorer.git","sklearn","9","64"
"charlesll/rampy","https://github.com/charlesll/rampy.git","sklearn","3","66"
"wikilinks/neleval","https://github.com/wikilinks/neleval.git","sklearn","3","96"
"cortex-lab/phy","https://github.com/cortex-lab/phy.git","sklearn","10","106"
"activityMonitoring/biobankAccelerometerAnalysis","https://github.com/activityMonitoring/biobankAccelerometerAnalysis.git","sklearn","8","53"
"jonathf/chaospy","https://github.com/jonathf/chaospy.git","sklearn","14","170"
"urinieto/msaf","https://github.com/urinieto/msaf.git","sklearn","8","245"
"sevamoo/SOMPY","https://github.com/sevamoo/SOMPY.git","sklearn","17","394"
"ptillet/triton","https://github.com/ptillet/triton.git","tensorflow,torch","8","159"
"numenta/htmresearch","https://github.com/numenta/htmresearch.git","sklearn,torch,tensorflow","27","219"
"wikimedia/revscoring","https://github.com/wikimedia/revscoring.git","sklearn","30","65"
"marl/medleydb","https://github.com/marl/medleydb.git","sklearn","6","85"
"rsummers11/CADLab","https://github.com/rsummers11/CADLab.git","sklearn,caffe,keras,torch","9","275"
"gsi-upm/senpy","https://github.com/gsi-upm/senpy.git","sklearn","5","64"
"udacity/ud120-projects","https://github.com/udacity/ud120-projects.git","sklearn","14","1341"
"Kitware/SMQTK","https://github.com/Kitware/SMQTK.git","sklearn,caffe,tensorflow","18","68"
"kevinmcalear/hater_news","https://github.com/kevinmcalear/hater_news.git","sklearn","3","83"
"hankcs/HanLP","https://github.com/hankcs/HanLP.git","tensorflow,keras","30","17560"
"gregversteeg/NPEET","https://github.com/gregversteeg/NPEET.git","sklearn","6","147"
"jrkerns/pylinac","https://github.com/jrkerns/pylinac.git","sklearn","9","57"
"msmbuilder/osprey","https://github.com/msmbuilder/osprey.git","sklearn,theano","9","72"
"inspirehep/beard","https://github.com/inspirehep/beard.git","sklearn","11","51"
"data61/python-paillier","https://github.com/data61/python-paillier.git","sklearn","5","250"
"MicrosoftGenomics/FaST-LMM","https://github.com/MicrosoftGenomics/FaST-LMM.git","sklearn","7","96"
"pgmpy/pgmpy_notebook","https://github.com/pgmpy/pgmpy_notebook.git","sklearn","11","205"
"fabianp/mord","https://github.com/fabianp/mord.git","sklearn","6","160"
"Xtra-Computing/thundersvm","https://github.com/Xtra-Computing/thundersvm.git","sklearn","20","1182"
"TeamHG-Memex/Formasaurus","https://github.com/TeamHG-Memex/Formasaurus.git","sklearn","4","76"
"jts/nanopolish","https://github.com/jts/nanopolish.git","sklearn","30","317"
"slinderman/pyhawkes","https://github.com/slinderman/pyhawkes.git","sklearn","4","128"
"bpteague/cytoflow","https://github.com/bpteague/cytoflow.git","sklearn","4","67"
"cosanlab/nltools","https://github.com/cosanlab/nltools.git","sklearn","8","57"
"acoular/acoular","https://github.com/acoular/acoular.git","sklearn","4","158"
"blabla1337/skf-flask","https://github.com/blabla1337/skf-flask.git","sklearn","38","459"
"cggh/scikit-allel","https://github.com/cggh/scikit-allel.git","sklearn","5","176"
"nyuvis/patient-viz","https://github.com/nyuvis/patient-viz.git","sklearn","7","56"
"SeldonIO/seldon-server","https://github.com/SeldonIO/seldon-server.git","sklearn,tensorflow,keras","9","1416"
"spmallick/learnopencv","https://github.com/spmallick/learnopencv.git","sklearn,torch,tensorflow,keras","41","10757"
"jpotts18/stylometry","https://github.com/jpotts18/stylometry.git","sklearn","3","87"
"sigopt/sigopt-examples","https://github.com/sigopt/sigopt-examples.git","sklearn,keras,tensorflow,torch","19","178"
"ctuning/ck-env","https://github.com/ctuning/ck-env.git","tensorflow","12","60"
"MSRDL/Deep4Cast","https://github.com/MSRDL/Deep4Cast.git","torch","8","55"
"tuwien-musicir/rp_extract","https://github.com/tuwien-musicir/rp_extract.git","sklearn","4","95"
"alexandrebarachant/pyRiemann","https://github.com/alexandrebarachant/pyRiemann.git","sklearn","7","192"
"scikit-learn-contrib/hdbscan","https://github.com/scikit-learn-contrib/hdbscan.git","sklearn","47","1601"
"marinkaz/scikit-fusion","https://github.com/marinkaz/scikit-fusion.git","sklearn","3","73"
"arogozhnikov/hep_ml","https://github.com/arogozhnikov/hep_ml.git","sklearn,theano","8","126"
"AllenInstitute/AllenSDK","https://github.com/AllenInstitute/AllenSDK.git","sklearn,keras,tensorflow","43","161"
"nistats/nistats","https://github.com/nistats/nistats.git","sklearn","25","76"
"douglasrizzo/catsim","https://github.com/douglasrizzo/catsim.git","sklearn","4","51"
"mittagessen/kraken","https://github.com/mittagessen/kraken.git","torch","9","206"
"MIDS-scaling-up/coursework","https://github.com/MIDS-scaling-up/coursework.git","sklearn,tensorflow","11","58"
"devmount/GermanWordEmbeddings","https://github.com/devmount/GermanWordEmbeddings.git","sklearn,tensorflow","6","173"
"quantopian/pyfolio","https://github.com/quantopian/pyfolio.git","sklearn","43","2841"
"qw2ky/CoLinUCB_Revised","https://github.com/qw2ky/CoLinUCB_Revised.git","sklearn","3","58"
"dme65/pySOT","https://github.com/dme65/pySOT.git","sklearn","4","98"
"pypeit/PypeIt","https://github.com/pypeit/PypeIt.git","sklearn","21","60"
"HDI-Project/MLBlocks","https://github.com/HDI-Project/MLBlocks.git","sklearn,keras","7","64"
"chrisquince/DESMAN","https://github.com/chrisquince/DESMAN.git","sklearn","9","55"
"biolab/orange3-text","https://github.com/biolab/orange3-text.git","sklearn","24","68"
"modernmt/modernmt","https://github.com/modernmt/modernmt.git","tensorflow,torch","12","188"
"openvax/mhcflurry","https://github.com/openvax/mhcflurry.git","sklearn,tensorflow,keras","10","73"
"pvthuy/word2vec-visualization","https://github.com/pvthuy/word2vec-visualization.git","keras","4","101"
