"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"EdjeElectronics/TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10","https://github.com/EdjeElectronics/TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10.git","tensorflow","6","2091"
"devnag/pytorch-generative-adversarial-networks","https://github.com/devnag/pytorch-generative-adversarial-networks.git","torch","3","1234"
"bfelbo/DeepMoji","https://github.com/bfelbo/DeepMoji.git","sklearn,keras","7","1013"
"NVIDIA/flownet2-pytorch","https://github.com/NVIDIA/flownet2-pytorch.git","caffe,torch","11","1747"
"vaexio/vaex","https://github.com/vaexio/vaex.git","sklearn","19","2423"
"Lasagne/Recipes","https://github.com/Lasagne/Recipes.git","sklearn,theano,caffe","16","847"
"DragonComputer/Dragonfire","https://github.com/DragonComputer/Dragonfire.git","theano,tensorflow","15","1001"
"NVIDIA/waveglow","https://github.com/NVIDIA/waveglow.git","torch","7","1422"
"SeanNaren/deepspeech.pytorch","https://github.com/SeanNaren/deepspeech.pytorch.git","torch","28","1285"
"chuanqi305/MobileNet-SSD","https://github.com/chuanqi305/MobileNet-SSD.git","caffe","6","1487"
"yjxiong/temporal-segment-networks","https://github.com/yjxiong/temporal-segment-networks.git","sklearn,caffe","6","1102"
"taehoonlee/tensornets","https://github.com/taehoonlee/tensornets.git","torch,keras,tensorflow","3","906"
"openai/InfoGAN","https://github.com/openai/InfoGAN.git","tensorflow","7","885"
"Hironsan/anago","https://github.com/Hironsan/anago.git","sklearn,keras,tensorflow","11","1296"
"uTensor/uTensor","https://github.com/uTensor/uTensor.git","tensorflow","13","1093"
"cmu-db/ottertune","https://github.com/cmu-db/ottertune.git","sklearn,torch,tensorflow","6","949"
"deepgram/kur","https://github.com/deepgram/kur.git","theano,torch,keras,tensorflow","11","806"
"mailgun/talon","https://github.com/mailgun/talon.git","sklearn","31","993"
"modin-project/modin","https://github.com/modin-project/modin.git","sklearn,keras","32","3787"
"basveeling/wavenet","https://github.com/basveeling/wavenet.git","theano,keras,tensorflow","4","996"
"geek-ai/MAgent","https://github.com/geek-ai/MAgent.git","tensorflow","8","1135"
"chainer/chainercv","https://github.com/chainer/chainercv.git","caffe,tensorflow","36","1310"
"GPflow/GPflow","https://github.com/GPflow/GPflow.git","tensorflow","44","1181"
"chuyangliu/snake","https://github.com/chuyangliu/snake.git","tensorflow","3","1114"
"tensorflow/ranking","https://github.com/tensorflow/ranking.git","tensorflow","15","1582"
"pathak22/noreward-rl","https://github.com/pathak22/noreward-rl.git","tensorflow","3","1076"
"berkeleydeeprlcourse/homework","https://github.com/berkeleydeeprlcourse/homework.git","keras,tensorflow","11","1245"
"richliao/textClassifier","https://github.com/richliao/textClassifier.git","keras","3","940"
"commonsense/conceptnet5","https://github.com/commonsense/conceptnet5.git","sklearn","15","1846"
"google/deepvariant","https://github.com/google/deepvariant.git","tensorflow","16","1908"
"mil-tokyo/webdnn","https://github.com/mil-tokyo/webdnn.git","torch,keras,tensorflow","12","1710"
"jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch.git","torch","5","3787"
"instacart/lore","https://github.com/instacart/lore.git","sklearn,keras,tensorflow","19","1481"
"charlesq34/pointnet","https://github.com/charlesq34/pointnet.git","tensorflow","3","2551"
"KupynOrest/DeblurGAN","https://github.com/KupynOrest/DeblurGAN.git","torch","7","1625"
"meetshah1995/pytorch-semseg","https://github.com/meetshah1995/pytorch-semseg.git","torch","14","2589"
"polyaxon/polyaxon","https://github.com/polyaxon/polyaxon.git","sklearn,keras,tensorflow,torch","70","2365"
"google/tangent","https://github.com/google/tangent.git","tensorflow","12","2025"
"openai/generating-reviews-discovering-sentiment","https://github.com/openai/generating-reviews-discovering-sentiment.git","sklearn,tensorflow","4","1354"
"facebookresearch/nevergrad","https://github.com/facebookresearch/nevergrad.git","torch","24","2175"
"longcw/faster_rcnn_pytorch","https://github.com/longcw/faster_rcnn_pytorch.git","torch","3","1370"
"L1aoXingyu/pytorch-beginner","https://github.com/L1aoXingyu/pytorch-beginner.git","torch,tensorflow","3","1907"
"cuemacro/finmarketpy","https://github.com/cuemacro/finmarketpy.git","sklearn","9","2075"
"tdeboissiere/DeepLearningImplementations","https://github.com/tdeboissiere/DeepLearningImplementations.git","sklearn,theano,keras,tensorflow,torch","7","1730"
"rtqichen/torchdiffeq","https://github.com/rtqichen/torchdiffeq.git","torch","11","2835"
"IDSIA/sacred","https://github.com/IDSIA/sacred.git","sklearn,torch,tensorflow","70","2467"
"ikostrikov/pytorch-a2c-ppo-acktr","https://github.com/ikostrikov/pytorch-a2c-ppo-acktr.git","torch","23","1812"
"goodfeli/adversarial","https://github.com/goodfeli/adversarial.git","theano","3","2722"
"salesforce/decaNLP","https://github.com/salesforce/decaNLP.git","torch","8","2061"
"has2k1/plotnine","https://github.com/has2k1/plotnine.git","sklearn","61","1988"
"hanxiao/bert-as-service","https://github.com/hanxiao/bert-as-service.git","sklearn,tensorflow","36","7125"
"NervanaSystems/coach","https://github.com/NervanaSystems/coach.git","tensorflow","30","1676"
"phanein/deepwalk","https://github.com/phanein/deepwalk.git","sklearn","8","1809"
"deepchem/deepchem","https://github.com/deepchem/deepchem.git","sklearn,theano,keras,tensorflow,torch","71","1816"
"hmmlearn/hmmlearn","https://github.com/hmmlearn/hmmlearn.git","sklearn","24","1878"
"ShangtongZhang/DeepRL","https://github.com/ShangtongZhang/DeepRL.git","torch","3","1864"
"pantsbuild/pants","https://github.com/pantsbuild/pants.git","tensorflow","176","1247"
"scikit-learn-contrib/sklearn-pandas","https://github.com/scikit-learn-contrib/sklearn-pandas.git","sklearn","26","2097"
"NTMC-Community/MatchZoo","https://github.com/NTMC-Community/MatchZoo.git","keras,tensorflow","27","2962"
"amdegroot/ssd.pytorch","https://github.com/amdegroot/ssd.pytorch.git","torch","9","3440"
"dmlc/gluon-nlp","https://github.com/dmlc/gluon-nlp.git","tensorflow,torch","66","1977"
"openai/roboschool","https://github.com/openai/roboschool.git","tensorflow","9","1936"
"openai/gradient-checkpointing","https://github.com/openai/gradient-checkpointing.git","keras,tensorflow","12","1928"
"cleardusk/3DDFA","https://github.com/cleardusk/3DDFA.git","torch","4","2402"
"crista/exercises-in-programming-style","https://github.com/crista/exercises-in-programming-style.git","keras","21","1582"
"GoogleCloudPlatform/PerfKitBenchmarker","https://github.com/GoogleCloudPlatform/PerfKitBenchmarker.git","tensorflow","107","1335"
"uber-research/deep-neuroevolution","https://github.com/uber-research/deep-neuroevolution.git","sklearn,tensorflow","11","1364"
"salesforce/awd-lstm-lm","https://github.com/salesforce/awd-lstm-lm.git","torch","4","1627"
"huyingxi/Synonyms","https://github.com/huyingxi/Synonyms.git","sklearn","9","2804"
"NVIDIA/DeepRecommender","https://github.com/NVIDIA/DeepRecommender.git","torch,tensorflow","8","1431"
"longcw/yolo2-pytorch","https://github.com/longcw/yolo2-pytorch.git","torch","6","1288"
"thunlp/OpenNRE","https://github.com/thunlp/OpenNRE.git","sklearn,torch","5","2329"
"mila-udem/blocks","https://github.com/mila-udem/blocks.git","theano","48","1147"
"raghakot/keras-vis","https://github.com/raghakot/keras-vis.git","keras,tensorflow","7","2559"
"pytorch/text","https://github.com/pytorch/text.git","torch","77","2212"
"guillaumegenthial/sequence_tagging","https://github.com/guillaumegenthial/sequence_tagging.git","tensorflow","4","1701"
"dmlc/dgl","https://github.com/dmlc/dgl.git","sklearn,keras,tensorflow,torch","47","4386"
"CSAILVision/semantic-segmentation-pytorch","https://github.com/CSAILVision/semantic-segmentation-pytorch.git","torch","5","3087"
"gaussic/text-classification-cnn-rnn","https://github.com/gaussic/text-classification-cnn-rnn.git","sklearn,tensorflow","3","2861"
"junxiaosong/AlphaZero_Gomoku","https://github.com/junxiaosong/AlphaZero_Gomoku.git","theano,torch,keras,tensorflow","8","1958"
"DT42/BerryNet","https://github.com/DT42/BerryNet.git","caffe,tensorflow","5","1422"
"gboeing/osmnx","https://github.com/gboeing/osmnx.git","sklearn","35","2068"
"zalandoresearch/flair","https://github.com/zalandoresearch/flair.git","sklearn,torch","81","8348"
"openai/improved-gan","https://github.com/openai/improved-gan.git","theano,tensorflow","6","1917"
"Franck-Dernoncourt/NeuroNER","https://github.com/Franck-Dernoncourt/NeuroNER.git","sklearn,tensorflow","6","1430"
"keithito/tacotron","https://github.com/keithito/tacotron.git","tensorflow","11","1950"
"scikit-learn-contrib/lightning","https://github.com/scikit-learn-contrib/lightning.git","sklearn","10","1332"
"taolei87/sru","https://github.com/taolei87/sru.git","torch","14","1766"
"DistrictDataLabs/yellowbrick","https://github.com/DistrictDataLabs/yellowbrick.git","sklearn","86","2655"
"scikit-optimize/scikit-optimize","https://github.com/scikit-optimize/scikit-optimize.git","sklearn","49","1720"
"tobegit3hub/tensorflow_template_application","https://github.com/tobegit3hub/tensorflow_template_application.git","sklearn,tensorflow","7","1790"
"mapbox/robosat","https://github.com/mapbox/robosat.git","torch","11","1559"
"albu/albumentations","https://github.com/albu/albumentations.git","torch","57","4763"
"danmacnish/cartoonify","https://github.com/danmacnish/cartoonify.git","tensorflow","4","1841"
"carpedm20/ENAS-pytorch","https://github.com/carpedm20/ENAS-pytorch.git","torch","5","2150"
"google-research/google-research","https://github.com/google-research/google-research.git","sklearn,keras,tensorflow","134","8942"
"databricks/spark-deep-learning","https://github.com/databricks/spark-deep-learning.git","keras,tensorflow","14","1676"
"apple/coremltools","https://github.com/apple/coremltools.git","sklearn,keras,tensorflow,torch","55","1552"
"reiinakano/scikit-plot","https://github.com/reiinakano/scikit-plot.git","sklearn","12","1811"
"facebookresearch/end-to-end-negotiator","https://github.com/facebookresearch/end-to-end-negotiator.git","torch","9","1270"
"PetrochukM/PyTorch-NLP","https://github.com/PetrochukM/PyTorch-NLP.git","torch","13","1639"
"Tencent/PocketFlow","https://github.com/Tencent/PocketFlow.git","sklearn,tensorflow","10","2431"
"maxpumperla/hyperas","https://github.com/maxpumperla/hyperas.git","sklearn,keras","17","1912"
"QUANTAXIS/QUANTAXIS","https://github.com/QUANTAXIS/QUANTAXIS.git","sklearn,keras","44","2989"
"maciejkula/spotlight","https://github.com/maciejkula/spotlight.git","sklearn,torch","9","2067"
"gliese581gg/YOLO_tensorflow","https://github.com/gliese581gg/YOLO_tensorflow.git","tensorflow","3","1634"
"dnouri/skorch","https://github.com/dnouri/skorch.git","sklearn,torch","25","3006"
"NervanaSystems/nlp-architect","https://github.com/NervanaSystems/nlp-architect.git","sklearn,keras,tensorflow,torch","25","2357"
"dmlc/gluon-cv","https://github.com/dmlc/gluon-cv.git","torch","83","3309"
"biolab/orange3","https://github.com/biolab/orange3.git","sklearn","77","2197"
"Kyubyong/transformer","https://github.com/Kyubyong/transformer.git","tensorflow","7","2979"
"facebookresearch/Horizon","https://github.com/facebookresearch/Horizon.git","sklearn,torch","30","2444"
"tensorlayer/srgan","https://github.com/tensorlayer/srgan.git","tensorflow","5","2175"
"NVlabs/MUNIT","https://github.com/NVlabs/MUNIT.git","torch","5","1939"
"suragnair/alpha-zero-general","https://github.com/suragnair/alpha-zero-general.git","torch,keras,tensorflow","27","1694"
"plasticityai/magnitude","https://github.com/plasticityai/magnitude.git","sklearn,torch","4","1214"
"jfkirk/tensorrec","https://github.com/jfkirk/tensorrec.git","sklearn,keras,tensorflow","6","1027"
"dipanjanS/text-analytics-with-python","https://github.com/dipanjanS/text-analytics-with-python.git","sklearn","3","938"
"jundongl/scikit-feature","https://github.com/jundongl/scikit-feature.git","sklearn","4","895"
"ibayer/fastFM","https://github.com/ibayer/fastFM.git","sklearn","12","835"
"NVIDIA/apex","https://github.com/NVIDIA/apex.git","torch","49","3060"
"yenchenlin/pix2pix-tensorflow","https://github.com/yenchenlin/pix2pix-tensorflow.git","tensorflow","5","869"
"google/uis-rnn","https://github.com/google/uis-rnn.git","torch","4","1140"
"thunlp/OpenNE","https://github.com/thunlp/OpenNE.git","sklearn,tensorflow","7","1211"
"tensorflow/minigo","https://github.com/tensorflow/minigo.git","sklearn,tensorflow","18","3042"
"chartbeat-labs/textacy","https://github.com/chartbeat-labs/textacy.git","sklearn","21","1401"
"avinashpaliwal/Super-SloMo","https://github.com/avinashpaliwal/Super-SloMo.git","torch","6","2181"
"facebookresearch/UnsupervisedMT","https://github.com/facebookresearch/UnsupervisedMT.git","torch","3","1315"
"huggingface/neuralcoref","https://github.com/huggingface/neuralcoref.git","torch","13","1876"
"fperazzi/proSR","https://github.com/fperazzi/proSR.git","torch","7","817"
"deepmind/scalable_agent","https://github.com/deepmind/scalable_agent.git","tensorflow","3","736"
"Image-Py/imagepy","https://github.com/Image-Py/imagepy.git","sklearn","14","861"
"yangyanli/PointCNN","https://github.com/yangyanli/PointCNN.git","tensorflow","5","981"
"TeamHG-Memex/tensorboard_logger","https://github.com/TeamHG-Memex/tensorboard_logger.git","tensorflow","5","597"
"autonomio/talos","https://github.com/autonomio/talos.git","sklearn,keras,tensorflow","13","1178"
"jostmey/rwa","https://github.com/jostmey/rwa.git","tensorflow","4","596"
"neubig/nn4nlp-code","https://github.com/neubig/nn4nlp-code.git","torch","7","1006"
"akelleh/causality","https://github.com/akelleh/causality.git","sklearn","3","733"
"tensorflow/tpu","https://github.com/tensorflow/tpu.git","keras,tensorflow","48","3269"
"philferriere/dlwin","https://github.com/philferriere/dlwin.git","theano,torch,keras","5","525"
"keon/deep-q-learning","https://github.com/keon/deep-q-learning.git","keras,tensorflow","7","885"
"hankcs/pyhanlp","https://github.com/hankcs/pyhanlp.git","sklearn","11","1578"
"EdinburghNLP/nematus","https://github.com/EdinburghNLP/nematus.git","tensorflow","36","663"
"nilearn/nilearn","https://github.com/nilearn/nilearn.git","sklearn","100","609"
"OpenNMT/OpenNMT-tf","https://github.com/OpenNMT/OpenNMT-tf.git","tensorflow","18","1009"
